present,past
quit,quitted
hang,hanged
dive,dived
dive,dove
dream,dreamed
dream,dreamt
fit,fit
fit,fitted
forbid,forbade
forbid,forbade
kneel,knelt
kneel,kneeled
knit,knit
knit,knitted
leap,leaped
leap,leapt
light,lighted
light,lit
shrink,shrank
shrink,shrunk
sneak,sneaked
sneak,snuck
spring,sprang
spring,sprung
stink,stunk
stink,stank
wet,wet
wet,wetted
hang,hung
lie,lay
lie,lied
win,won
wring,wrung
begin,began
bite,bit
do,did
abandon,abandoned
abet,abetted
abide,abided
abolish,abolished
abound,abounded
absent,absented
absorb,absorbed
abstract,abstracted
abuse,abused
accelerate,accelerated
accept,accepted
accommodate,accommodated
accompany,accompanied
accomplish,accomplished
accord,accorded
account,accounted
accrue,accrued
accumulate,accumulated
accuse,accused
ache,ached
achieve,achieved
acknowledge,acknowledged
acquaint,acquainted
acquiesce,acquiesced
acquire,acquired
act,acted
activate,activated
adapt,adapted
add,added
address,addressed
adhere,adhered
adjoin,adjoined
adjourn,adjourned
adjust,adjusted
administer,administered
admire,admired
admit,admitted
admonish,admonished
adopt,adopted
adore,adored
advance,advanced
advertise,advertised
advise,advised
advocate,advocated
affect,affected
affirm,affirmed
afford,afforded
age,aged
agglomerate,agglomerated
agonize,agonized
agree,agreed
aid,aided
aim,aimed
alarm,alarmed
alert,alerted
alienate,alienated
align,aligned
allege,alleged
alleviate,alleviated
allocate,allocated
allot,allotted
allow,allowed
alter,altered
amass,amassed
amaze,amazed
ambush,ambushed
amend,amended
amortize,amortized
amount,amounted
amuse,amused
analyze,analyzed
announce,announced
annoy,annoyed
answer,answered
anticipate,anticipated
apologize,apologized
appeal,appealed
appear,appeared
appease,appeased
applaud,applauded
apply,applied
appoint,appointed
appraise,appraised
appreciate,appreciated
approach,approached
appropriate,appropriated
approve,approved
approximate,approximated
arbitrate,arbitrated
arch,arched
argue,argued
arise,arose
arouse,aroused
arraign,arraigned
arrange,arranged
arrest,arrested
arrive,arrived
articulate,articulated
ascend,ascended
ascertain,ascertained
ascribe,ascribed
ask,asked
aspire,aspired
assail,assailed
assault,assaulted
assemble,assembled
assent,assented
assert,asserted
assess,assessed
assign,assigned
assimilate,assimilated
assist,assisted
associate,associated
assume,assumed
assure,assured
astonish,astonished
astound,astounded
attach,attached
attack,attacked
attain,attained
attempt,attempted
attend,attended
attest,attested
attract,attracted
attribute,attributed
augment,augmented
authorize,authorized
avail,availed
avenge,avenged
average,averaged
avert,averted
avoid,avoided
await,awaited
awake,awoke
awaken,awakened
award,awarded
babble,babbled
back,backed
backstitch,backstitched
bake,baked
balance,balanced
balk,balked
ban,banned
bandage,bandaged
bang,banged
banish,banished
bank,banked
bankrupt,bankrupted
bar,barred
bar,barred
barge,barged
base,based
bat,bated
bathe,bathed
batter,battered
battle,battled
bawl,bawled
bay,bayed
bear,bore
beat,beat
beckon,beckoned
become,became
befall,befell
beg,begged
beget,begot
begrudge,begrudged
behave,behaved
behold,beheld
belch,belched
belie,belied
believe,believed
bellow,bellowed
belong,belonged
belt,belted
bend,bent
benefit,benefited
beseech,besought
bestow,bestowed
bet,bet
betide,betided
betray,betrayed
better,bettered
bevel,beveled
bewitch,bewitched
bicker,bickered
bid,bid
bind,bound
birdie,birdied
blame,blamed
blast,blasted
blaze,blazed
bleed,bled
blend,blended
bless,blessed
blind,blinded
blindfold,blindfolded
blink,blinked
blister,blistered
block,blocked
blockade,blockaded
bloom,bloomed
blossom,blossomed
blot,bloted
blow,blew
blunder,blundered
blunt,blunted
blurt,blurted
blush,blushed
board,boarded
boast,boasted
bob,bobbed
bogey,bogeyed
boil,boiled
bolster,bolstered
bolt,bolted
boost,boosted
boot,booted
border,bordered
bore,bored
borrow,borrowed
bother,bothered
bottle,bottled
bounce,bounced
bound,bounded
bow,bowed
box,boxed
brace,braced
brag,bragged
branch,branched
brand,branded
break,broke
breakfast,breakfasted
breathe,breathed
breed,bred
bribe,bribed
bridge,bridged
brighten,brightened
bring,brought
bristle,bristled
broaden,broadened
broil,broiled
bruise,bruised
brush,brushed
buckle,buckled
bud,budded
budge,budged
budget,budgeted
build,built
bulge,bulged
bump,bumped
burn,burned
burst,burst
bury,buried
butt,butted
buy,bought
buzz,buzzed
bypass,bypassed
cable,cabled
cackle,cackled
calculate,calculated
call,called
calm,calmed
calve,calved
campaign,campaigned
can,canned
cancel,canceled
cap,caped
capitalize,capitalized
capitulate,capitulated
capture,captured
care,cared
caress,caressed
carry,carried
carve,carved
case,cased
cash,cashed
cast,cast
catalogue,catalogued
catch,caught
cater,catered
cause,caused
caution,cautioned
cease,ceased
celebrate,celebrated
center,centered
centralize,centralized
certify,certified
challenge,challenged
chance,chanced
change,changed
channel,channeled
chant,chanted
characterize,characterized
charge,charged
charm,charmed
chart,charted
chase,chased
chat,chatted
chatter,chattered
cheat,cheated
check,checked
cheer,cheered
cherish,cherished
chew,chewed
chide,chided
chill,chilled
chin,chined
chip,chipped
choke,choked
choose,chose
chop,choped
chortle,chortled
chuck,chucked
chuckle,chuckled
circle,circled
circulate,circulated
cite,cited
claim,claimed
clamber,clambered
clamp,clamped
clap,clapped
clarify,clarified
clasp,clasped
classify,classified
clatter,clattered
clean,cleaned
clear,cleared
clench,clenched
click,clicked
climb,climbed
clinch,clinched
cling,clung
clip,clipped
clog,clogged
close,closed
cluster,clustered
clutch,clutched
clutter,cluttered
coast,coasted
cock,cocked
coddle,coddled
coerce,coerced
coin,coined
coincide,coincided
collaborate,collaborated
collapse,collapsed
collar,collared
collect,collected
color,colored
comb,combed
combat,combated
combine,combined
come,came
comfort,comforted
command,commanded
commemorate,commemorated
commence,commenced
commend,commended
comment,commented
commit,committed
communicate,communicated
commute,commuted
compare,compared
compel,compelled
compensate,compensated
compete,competed
compile,compiled
complain,complained
complement,complemented
complete,completed
complicate,complicated
comply,complied
compose,composed
compound,compounded
comprehend,comprehended
compress,compressed
comprise,comprised
compromise,compromised
compute,computed
conceal,concealed
concede,conceded
conceive,conceived
concentrate,concentrated
concern,concerned
conclude,concluded
concur,concurred
condemn,condemned
condense,condensed
condition,conditioned
conduct,conducted
confer,conferred
confess,confessed
confide,confided
confine,confined
confirm,confirmed
confiscate,confiscated
conflict,conflicted
conform,conformed
confront,confronted
confuse,confused
congeal,congealed
congest,congested
congratulate,congratulated
congregate,congregated
conjure,conjured
connect,connected
conquer,conquered
consent,consented
conserve,conserved
consider,considered
consign,consigned
consist,consisted
consolidate,consolidated
conspire,conspired
constitute,constituted
constrain,constrained
construct,constructed
construe,construed
consult,consulted
consume,consumed
